"statename","year","BDRM1","BDRM2","Studio","MGR_all","state"
"North Dakota",2019,668,815,658,804,"ND"
"North Dakota",2019,668,815,658,804,"ND"
"Ohio",2015,586,754,537,746,"OH"
"Ohio",2015,586,754,537,746,"OH"
"Ohio",2015,586,754,537,746,"OH"
"Ohio",2016,587,767,570,759,"OH"
"Ohio",2016,587,767,570,759,"OH"
"Ohio",2016,587,767,570,759,"OH"
"Ohio",2017,604,779,569,772,"OH"
"Ohio",2017,604,779,569,772,"OH"
"Ohio",2017,604,779,569,772,"OH"
"Ohio",2018,625,810,605,797,"OH"
"Ohio",2018,625,810,605,797,"OH"
"Ohio",2018,625,810,605,797,"OH"
"Ohio",2019,650,824,614,813,"OH"
"Ohio",2019,650,824,614,813,"OH"
"Ohio",2019,650,824,614,813,"OH"
"Oklahoma",2015,602,742,561,759,"OK"
"Oklahoma",2015,602,742,561,759,"OK"
"Oklahoma",2015,602,742,561,759,"OK"
"Oklahoma",2016,606,734,544,744,"OK"
"Oklahoma",2016,606,734,544,744,"OK"
"Oklahoma",2016,606,734,544,744,"OK"
"Oklahoma",2017,628,770,607,780,"OK"
"Oklahoma",2017,628,770,607,780,"OK"
"Oklahoma",2017,628,770,607,780,"OK"
"Oklahoma",2018,637,798,611,808,"OK"
"Oklahoma",2018,637,798,611,808,"OK"
"Oklahoma",2018,637,798,611,808,"OK"
"Oklahoma",2019,641,793,607,814,"OK"
"Oklahoma",2019,641,793,607,814,"OK"
"Oklahoma",2019,641,793,607,814,"OK"
"Oregon",2015,781,904,747,943,"OR"
"Oregon",2015,781,904,747,943,"OR"
"Oregon",2015,781,904,747,943,"OR"
"Oregon",2016,848,975,825,1015,"OR"
"Oregon",2016,848,975,825,1015,"OR"
"Oregon",2016,848,975,825,1015,"OR"
"Oregon",2017,890,1043,858,1079,"OR"
"Oregon",2017,890,1043,858,1079,"OR"
"Oregon",2017,890,1043,858,1079,"OR"
"Oregon",2018,931,1118,881,1130,"OR"
"Oregon",2018,931,1118,881,1130,"OR"
"Oregon",2018,931,1118,881,1130,"OR"
"Oregon",2019,998,1164,1017,1185,"OR"
"Oregon",2019,998,1164,1017,1185,"OR"
"Oregon",2019,998,1164,1017,1185,"OR"
"Pennsylvania",2015,720,893,666,868,"PA"
"Pennsylvania",2015,720,893,666,868,"PA"
"Pennsylvania",2015,720,893,666,868,"PA"
"Pennsylvania",2016,744,906,699,881,"PA"
"Pennsylvania",2016,744,906,699,881,"PA"
"Pennsylvania",2016,744,906,699,881,"PA"
"Pennsylvania",2017,757,915,755,893,"PA"
"Pennsylvania",2017,757,915,755,893,"PA"
"Pennsylvania",2017,757,915,755,893,"PA"
"Pennsylvania",2018,776,962,732,927,"PA"
"Pennsylvania",2018,776,962,732,927,"PA"
"Pennsylvania",2018,776,962,732,927,"PA"
"Pennsylvania",2019,805,971,762,951,"PA"
"Pennsylvania",2019,805,971,762,951,"PA"
"Pennsylvania",2019,805,971,762,951,"PA"
"Rhode Island",2015,710,968,642,938,"RI"
"Rhode Island",2015,710,968,642,938,"RI"
