state,year,homeless_individual,homeless_family,statename,population,homeless_individual_rate,homeless_family_rate,unemployment_rate,poverty_rate,median_income,fmr_studio,mgr_studio,min_wage
NM,2016,1556,707,new mexico,2091630,0.07,0.03,6.6,17.8,48450,521,565,7.5
NM,2017,1865,617,new mexico,2091784,0.09,0.03,5.9,19.7,47860,533,565,7.5
NM,2018,1949,602,new mexico,2092741,0.09,0.03,4.9,16.6,48280,558,598,7.5
NM,2019,2464,777,new mexico,2096829,0.12,0.04,5,15.3,53110,598,575,9
NV,2015,7858,885,nevada,2866939,0.27,0.03,6.8,13,52010,477,622,7.25
NV,2016,6853,545,nevada,2917563,0.23,0.02,5.7,10.1,55430,507,618,7.25
NV,2017,7281,552,nevada,2969905,0.25,0.02,5.1,13.2,56550,524,716,7.25
NV,2018,7058,486,nevada,3027341,0.23,0.02,4.6,13,61860,568,763,7.25
NV,2019,6614,555,nevada,3080156,0.21,0.02,4.1,10.4,70910,575,796,7.25
NY,2015,36135,52115,new york,19654666,0.18,0.27,5.3,14.2,58010,684,1091,8.75
NY,2016,35315,51037,new york,19633428,0.18,0.26,4.9,11.9,61440,688,1115,9
NY,2017,37390,52113,new york,19589572,0.19,0.27,4.7,12.7,62450,730,1158,9.7
NY,2018,39827,52070,new york,19530351,0.2,0.27,4.1,11.1,67270,753,1198,10.4
NY,2019,42113,49978,new york,19453561,0.22,0.26,3.9,12.5,71860,777,1218,11.8
OH,2015,7565,3617,ohio,11617527,0.07,0.03,4.9,13.6,53300,452,537,7.25
OH,2016,6946,3458,ohio,11634370,0.06,0.03,5,13.7,53990,482,570,7.25
OH,2017,6688,3407,ohio,11659650,0.06,0.03,5,12.9,59770,507,569,8.15
OH,2018,6929,3320,ohio,11676341,0.06,0.03,4.6,11.9,61630,516,605,8.3
OH,2019,7041,3304,ohio,11689100,0.06,0.03,4.2,12.4,64660,523,614,8.7
OK,2015,2781,996,oklahoma,3909500,0.07,0.03,4.4,14.2,47080,449,561,2
OK,2016,2997,1110,oklahoma,3926331,0.08,0.03,4.8,14.6,50940,475,544,2
OK,2017,2824,1375,oklahoma,3931316,0.07,0.03,4.2,12.8,55010,493,607,2
OK,2018,2823,1048,oklahoma,3940235,0.07,0.03,3.4,13.4,54430,515,611,2
OK,2019,3063,881,oklahoma,3956971,0.08,0.02,3.1,10.8,59400,521,607,2
OR,2015,9461,3765,oregon,4015792,0.24,0.09,5.6,11.9,60830,515,747,9.25
OR,2016,9379,3859,oregon,4089976,0.23,0.09,4.8,11.8,59140,535,825,9.75
OR,2017,10434,3519,oregon,4143625,0.25,0.08,4.1,11.5,64610,572,858,9.75
OR,2018,11139,3337,oregon,4181886,0.27,0.08,4.2,9.7,69170,617,881,10.75
OR,2019,12354,3522,oregon,4217737,0.29,0.08,3.7,8.1,74410,650,1017,11.25
PA,2015,8605,6816,pennsylvania,12784826,0.07,0.05,5.3,12.3,60390,542,666,7.25
PA,2016,8599,6740,pennsylvania,12782275,0.07,0.05,5.4,11.1,60980,551,699,7.25
PA,2017,8271,5867,pennsylvania,12787641,0.06,0.05,4.9,10.9,63170,592,755,7.25
PA,2018,8163,5349,pennsylvania,12800922,0.06,0.04,4.3,11.8,64520,612,732,7.25
PA,2019,8426,4773,pennsylvania,12801989,0.07,0.04,4.3,8.7,70580,613,762,7.25
RI,2015,706,405,rhode island,1056065,0.07,0.04,6,11.8,55700,698,642,9
RI,2016,859,301,rhode island,1056770,0.08,0.03,5.2,11.4,61530,663,677,9.6
RI,2017,802,378,rhode island,1055673,0.08,0.04,4.4,11.3,66390,743,629,9.6
RI,2018,747,354,rhode island,1058287,0.07,0.03,4.1,8.9,62270,762,725,10.1
RI,2019,730,325,rhode island,1059361,0.07,0.03,3.5,9.2,70150,802,798,10.5
SC,2015,3934,1420,south carolina,4891938,0.08,0.03,6,14.3,46360,520,668,0
SC,2016,3758,1293,south carolina,4957968,0.08,0.03,5,14.1,54340,510,731,0
SC,2017,2896,1020,south carolina,5021268,0.06,0.02,4.3,15.2,54970,557,696,0
SC,2018,3082,851,south carolina,5084156,0.06,0.02,3.4,12.8,57440,566,737,0
SC,2019,3318,854,south carolina,5148714,0.06,0.02,2.8,15.1,62030,606,667,0
SD,2015,630,406,south dakota,853988,0.07,0.05,3.1,13.9,55070,477,423,8.5
SD,2016,548,524,south dakota,862996,0.06,0.06,3,14.5,57450,452,559,8.55
SD,2017,611,332,south dakota,872868,0.07,0.04,3.2,10.7,56890,457,575,8.65
SD,2018,836,323,south dakota,878698,0.1,0.04,3,10.6,59460,465,563,8.85
SD,2019,725,270,south dakota,884659,0.08,0.03,2.8,10.6,64260,493,592,9.3
TN,2015,6516,2607,tennessee,6591170,0.1,0.04,5.6,14.7,47330,448,577,0
TN,2016,6652,2127,tennessee,6646010,0.1,0.03,4.7,14.9,51340,473,642,0
TN,2017,6137,2172,tennessee,6708799,0.09,0.03,3.8,11.3,55240,497,669,0
TN,2018,6139,1744,tennessee,6771631,0.09,0.03,3.5,12,56060,509,745,0
TN,2019,5637,1830,tennessee,6829174,0.08,0.03,3.3,13.1,56630,530,746,0
