"State","year","rent_type","value"
"Michigan","2015","MGR - 2 BDRM",819
"Michigan","2016","MGR - Total",818
"Michigan","2016","MGR - Studio",638
"Michigan","2016","MGR - 1 BDRM",646
"Michigan","2016","MGR - 2 BDRM",833
"Michigan","2017","MGR - Total",835
"Michigan","2017","MGR - Studio",633
"Michigan","2017","MGR - 1 BDRM",667
"Michigan","2017","MGR - 2 BDRM",846
"Michigan","2018","MGR - Total",861
"Michigan","2018","MGR - Studio",686
"Michigan","2018","MGR - 1 BDRM",682
"Michigan","2018","MGR - 2 BDRM",881
"Michigan","2019","MGR - Total",888
"Michigan","2019","MGR - Studio",674
"Michigan","2019","MGR - 1 BDRM",713
"Michigan","2019","MGR - 2 BDRM",906
"Minnesota","2015","MGR - Total",888
"Minnesota","2015","MGR - Studio",709
"Minnesota","2015","MGR - 1 BDRM",747
"Minnesota","2015","MGR - 2 BDRM",945
"Minnesota","2016","MGR - Total",912
"Minnesota","2016","MGR - Studio",699
"Minnesota","2016","MGR - 1 BDRM",792
"Minnesota","2016","MGR - 2 BDRM",956
"Minnesota","2017","MGR - Total",939
"Minnesota","2017","MGR - Studio",728
"Minnesota","2017","MGR - 1 BDRM",817
"Minnesota","2017","MGR - 2 BDRM",994
"Minnesota","2018","MGR - Total",969
"Minnesota","2018","MGR - Studio",780
"Minnesota","2018","MGR - 1 BDRM",854
"Minnesota","2018","MGR - 2 BDRM",1033
"Minnesota","2019","MGR - Total",1016
"Minnesota","2019","MGR - Studio",831
"Minnesota","2019","MGR - 1 BDRM",902
"Minnesota","2019","MGR - 2 BDRM",1082
"Mississippi","2015","MGR - Total",724
"Mississippi","2015","MGR - Studio",528
"Mississippi","2015","MGR - 1 BDRM",560
"Mississippi","2015","MGR - 2 BDRM",693
"Mississippi","2016","MGR - Total",728
"Mississippi","2016","MGR - Studio",545
"Mississippi","2016","MGR - 1 BDRM",589
"Mississippi","2016","MGR - 2 BDRM",687
"Mississippi","2017","MGR - Total",742
"Mississippi","2017","MGR - Studio",550
"Mississippi","2017","MGR - 1 BDRM",564
"Mississippi","2017","MGR - 2 BDRM",703
"Mississippi","2018","MGR - Total",777
"Mississippi","2018","MGR - Studio",570
"Mississippi","2018","MGR - 1 BDRM",613
"Mississippi","2018","MGR - 2 BDRM",743
"Mississippi","2019","MGR - Total",777
"Mississippi","2019","MGR - Studio",598
"Mississippi","2019","MGR - 1 BDRM",613
"Mississippi","2019","MGR - 2 BDRM",747
"Missouri","2015","MGR - Total",763
"Missouri","2015","MGR - Studio",555
"Missouri","2015","MGR - 1 BDRM",600
"Missouri","2015","MGR - 2 BDRM",757
"Missouri","2016","MGR - Total",771
"Missouri","2016","MGR - Studio",580
"Missouri","2016","MGR - 1 BDRM",611
"Missouri","2016","MGR - 2 BDRM",765
"Missouri","2017","MGR - Total",800
"Missouri","2017","MGR - Studio",622
"Missouri","2017","MGR - 1 BDRM",636
"Missouri","2017","MGR - 2 BDRM",789
"Missouri","2018","MGR - Total",830
"Missouri","2018","MGR - Studio",691
"Missouri","2018","MGR - 1 BDRM",661
"Missouri","2018","MGR - 2 BDRM",819
"Missouri","2019","MGR - Total",834
"Missouri","2019","MGR - Studio",687
"Missouri","2019","MGR - 1 BDRM",683
"Missouri","2019","MGR - 2 BDRM",829
"Montana","2015","MGR - Total",763
"Montana","2015","MGR - Studio",515
"Montana","2015","MGR - 1 BDRM",558
"Montana","2015","MGR - 2 BDRM",768
"Montana","2016","MGR - Total",741
"Montana","2016","MGR - Studio",498
"Montana","2016","MGR - 1 BDRM",566
"Montana","2016","MGR - 2 BDRM",761
"Montana","2017","MGR - Total",759
"Montana","2017","MGR - Studio",577
"Montana","2017","MGR - 1 BDRM",623
"Montana","2017","MGR - 2 BDRM",781
"Montana","2018","MGR - Total",811
"Montana","2018","MGR - Studio",607
"Montana","2018","MGR - 1 BDRM",620
"Montana","2018","MGR - 2 BDRM",830
"Montana","2019","MGR - Total",831
"Montana","2019","MGR - Studio",590
"Montana","2019","MGR - 1 BDRM",660
"Montana","2019","MGR - 2 BDRM",849
"Nebraska","2015","MGR - Total",750
"Nebraska","2015","MGR - Studio",600
"Nebraska","2015","MGR - 1 BDRM",625
"Nebraska","2015","MGR - 2 BDRM",760
"Nebraska","2016","MGR - Total",769
"Nebraska","2016","MGR - Studio",569
